Local,ID,Region,Estado,Ciudad,Precio por unidad,Cantidad vendida,Total vendido,Ganacias,Margen de operacion,Tipo de venta,Genero,Tipo de ropa,Año,Mes,Dia
Foot Locker,1185732,Northeast,New York,New York,50,1200,600000,300000,0.5,In-store,Masculino,Calzado,2020,1,1
Foot Locker,1185732,Northeast,New York,New York,50,1000,500000,150000,0.3,In-store,Masculino,Calzado,2020,1,2
Foot Locker,1185732,Northeast,New York,New York,40,1000,400000,140000,0.35,In-store,Femenino,Calzado,2020,1,3
Foot Locker,1185732,Northeast,New York,New York,45,850,382500,133875,0.35,In-store,Femenino,Calzado,2020,1,4
Foot Locker,1185732,Northeast,New York,New York,60,900,540000,162000,0.3,In-store,Masculino,Vestir,2020,1,5
Foot Locker,1185732,Northeast,New York,New York,50,1000,500000,125000,0.25,In-store,Femenino,Vestir,2020,1,6
Foot Locker,1185732,Northeast,New York,New York,50,1250,625000,312500,0.5,In-store,Masculino,Calzado,2020,1,7
Foot Locker,1185732,Northeast,New York,New York,50,900,450000,135000,0.3,Outlet,Masculino,Calzado,2020,1,8
Foot Locker,1185732,Northeast,New York,New York,40,950,380000,133000,0.35,Outlet,Femenino,Calzado,2020,1,21
Foot Locker,1185732,Northeast,New York,New York,45,825,371250,129937.49999999999,0.35,Outlet,Femenino,Calzado,2020,1,22
Foot Locker,1185732,Northeast,New York,New York,60,900,540000,162000,0.3,Outlet,Masculino,Vestir,2020,1,23
Foot Locker,1185732,Northeast,New York,New York,50,1000,500000,125000,0.25,Outlet,Femenino,Vestir,2020,1,24
Foot Locker,1185732,Northeast,New York,New York,50,1220,610000,305000,0.5,Outlet,Masculino,Calzado,2020,1,25
Foot Locker,1185732,Northeast,New York,New York,50,925,462500,138750,0.3,Outlet,Masculino,Calzado,2020,1,26
Foot Locker,1185732,Northeast,New York,New York,40,950,380000,133000,0.35,Outlet,Femenino,Calzado,2020,1,27
Foot Locker,1185732,Northeast,New York,New York,45,800,360000,125999.99999999999,0.35,Outlet,Femenino,Calzado,2020,1,28
Foot Locker,1185732,Northeast,New York,New York,60,850,510000,153000,0.3,Outlet,Masculino,Vestir,2020,1,29
Foot Locker,1185732,Northeast,New York,New York,50,950,475000,118750,0.25,Outlet,Femenino,Vestir,2020,1,30
Foot Locker,1185732,Northeast,New York,New York,50,1200,600000,300000,0.5,Outlet,Masculino,Calzado,2020,1,31
Foot Locker,1185732,Northeast,New York,New York,50,900,450000,135000,0.3,Outlet,Masculino,Calzado,2020,2,1
Foot Locker,1185732,Northeast,New York,New York,40,900,360000,125999.99999999999,0.35,Outlet,Femenino,Calzado,2020,2,2
Foot Locker,1185732,Northeast,New York,New York,45,825,371250,129937.49999999999,0.35,Outlet,Femenino,Calzado,2020,2,3
Foot Locker,1185732,Northeast,New York,New York,60,825,495000,148500,0.3,Outlet,Masculino,Vestir,2020,2,4
Foot Locker,1185732,Northeast,New York,New York,50,950,475000,118750,0.25,Outlet,Femenino,Vestir,2020,2,5
Foot Locker,1185732,Northeast,New York,New York,60,1220,732000,366000,0.5,Outlet,Masculino,Calzado,2020,2,6
Foot Locker,1185732,Northeast,New York,New York,55.00000000000001,925,508750.00000000006,152625,0.3,Outlet,Masculino,Calzado,2020,2,7
Foot Locker,1185732,Northeast,New York,New York,50,900,450000,157500,0.35,Outlet,Femenino,Calzado,2020,2,8
Foot Locker,1185732,Northeast,New York,New York,50,850,425000,148750,0.35,Outlet,Femenino,Calzado,2020,2,9
Foot Locker,1185732,Northeast,New York,New York,60,875,525000,157500,0.3,Outlet,Masculino,Vestir,2020,2,10
Foot Locker,1185732,Northeast,New York,New York,65,1000,650000,162500,0.25,Outlet,Femenino,Vestir,2020,3,3
Foot Locker,1185732,Northeast,New York,New York,60,1250,750000,375000,0.5,Outlet,Masculino,Calzado,2020,3,4
Foot Locker,1185732,Northeast,New York,New York,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3,Outlet,Masculino,Calzado,2020,3,5
Foot Locker,1185732,Northeast,New York,New York,50,925,462500,161875,0.35,Outlet,Femenino,Calzado,2020,3,6
Foot Locker,1185732,Northeast,New York,New York,50,900,450000,157500,0.35,Outlet,Femenino,Calzado,2020,3,7
Foot Locker,1185732,Northeast,New York,New York,60,900,540000,162000,0.3,Outlet,Masculino,Vestir,2020,3,8
Foot Locker,1185732,Northeast,New York,New York,65,1050,682500,170625,0.25,Outlet,Femenino,Vestir,2020,3,9
Foot Locker,1185732,Northeast,New York,New York,60,1275,765000,382500,0.5,Outlet,Masculino,Calzado,2020,3,10
Foot Locker,1185732,Northeast,New York,New York,55.00000000000001,1025,563750.0000000001,169125.00000000003,0.3,Outlet,Masculino,Calzado,2020,3,11
Foot Locker,1185732,Northeast,New York,New York,50,950,475000,166250,0.35,Outlet,Femenino,Calzado,2020,3,12
Foot Locker,1185732,Northeast,New York,New York,50,900,450000,157500,0.35,Outlet,Femenino,Calzado,2020,3,13
Foot Locker,1185732,Northeast,New York,New York,60,925,555000,166500,0.3,Outlet,Masculino,Vestir,2020,3,14
Foot Locker,1185732,Northeast,New York,New York,65,1100,715000,178750,0.25,Outlet,Femenino,Vestir,2020,3,15
Foot Locker,1185732,Northeast,New York,New York,60,1250,750000,375000,0.5,Outlet,Masculino,Calzado,2020,3,16
Foot Locker,1185732,Northeast,New York,New York,55.00000000000001,1025,563750.0000000001,169125.00000000003,0.3,Outlet,Masculino,Calzado,2020,3,17
Foot Locker,1185732,Northeast,New York,New York,50,950,475000,166250,0.35,Outlet,Femenino,Calzado,2020,3,18
